time,x,y,z,serving_cell,rsrp_serving,rsrq_serving,prb_util,allocated_prbs,throughput_mbps
0.00,100.0,100.0,100.0,1,-40.00,-3.00,0.293,45,161.45
0.50,105.0,105.0,100.0,1,-68.56,-3.71,0.332,45,84.60
1.00,110.0,110.0,100.0,1,-40.00,-3.00,0.247,45,161.45
1.50,115.0,115.0,100.0,1,-63.19,-3.00,0.270,45,99.04
2.00,120.0,120.0,100.0,1,-40.00,-3.00,0.159,45,161.45
2.50,125.0,125.0,100.0,1,-40.00,-3.00,0.239,45,161.45
3.00,130.0,130.0,100.0,1,-40.00,-3.00,0.232,45,161.45
3.50,135.0,135.0,100.0,1,-40.70,-3.00,0.173,45,159.56
4.00,140.0,140.0,100.0,1,-40.00,-3.00,0.100,45,161.45
4.50,145.0,145.0,100.0,1,-40.00,-3.00,0.185,45,161.45
5.00,150.0,150.0,100.0,1,-40.00,-3.00,0.160,45,161.45
5.50,155.0,155.0,100.0,1,-40.00,-3.00,0.210,45,161.45
6.00,160.0,160.0,100.0,1,-43.03,-3.00,0.229,45,153.30
6.50,165.0,165.0,100.0,1,-45.35,-3.00,0.274,45,147.06
7.00,170.0,170.0,100.0,1,-40.00,-3.00,0.211,45,161.45
7.50,175.0,175.0,100.0,1,-40.00,-3.00,0.149,45,161.45
8.00,180.0,180.0,100.0,1,-58.83,-3.00,0.249,45,110.77
8.50,185.0,185.0,100.0,1,-40.00,-3.00,0.228,45,161.45
9.00,190.0,190.0,100.0,1,-40.00,-3.00,0.306,45,161.45
9.50,195.0,195.0,100.0,1,-63.38,-3.00,0.288,45,98.55
10.00,200.0,200.0,100.0,1,-40.00,-3.00,0.292,45,161.45
10.50,205.0,205.0,100.0,1,-40.00,-3.00,0.326,45,161.45
11.00,210.0,210.0,100.0,1,-40.00,-3.00,0.291,45,161.45
11.50,215.0,215.0,100.0,1,-40.00,-3.00,0.332,45,161.45
12.00,220.0,220.0,100.0,1,-40.00,-3.00,0.374,45,161.45
12.50,225.0,225.0,100.0,1,-40.00,-3.00,0.399,45,161.45
13.00,230.0,230.0,100.0,1,-40.00,-3.00,0.464,45,161.45
13.50,235.0,235.0,100.0,1,-40.00,-3.00,0.439,45,161.45
14.00,240.0,240.0,100.0,1,-40.00,-3.00,0.489,45,161.45
14.50,245.0,245.0,100.0,1,-40.00,-3.00,0.529,45,161.45
15.00,250.0,250.0,100.0,1,-56.92,-3.00,0.569,45,115.91
15.50,255.0,255.0,100.0,1,-40.00,-3.00,0.609,45,161.45
16.00,260.0,260.0,100.0,1,-61.97,-3.00,0.572,45,102.33
16.50,265.0,265.0,100.0,1,-40.93,-3.00,0.587,45,158.94
17.00,270.0,270.0,100.0,1,-40.00,-3.00,0.575,45,161.45
17.50,275.0,275.0,100.0,1,-66.78,-3.36,0.544,45,89.40
18.00,280.0,280.0,100.0,1,-40.86,-3.00,0.569,45,159.12
