time,x,y,z,serving_cell,rsrp_serving,rsrq_serving,prb_util,allocated_prbs,throughput_mbps
18.50,285.0,285.0,100.0,1,-40.00,-3.00,0.544,45,161.45
19.00,290.0,290.0,100.0,1,-40.00,-3.00,0.586,45,161.45
19.50,295.0,295.0,100.0,1,-40.48,-3.00,0.561,45,160.16
20.00,300.0,300.0,100.0,1,-40.00,-3.00,0.584,45,161.45
20.50,305.0,305.0,100.0,1,-42.67,-3.00,0.582,45,154.27
21.00,310.0,310.0,100.0,1,-43.80,-3.00,0.573,45,151.22
21.50,315.0,315.0,100.0,1,-40.00,-3.00,0.580,45,161.45
22.00,320.0,320.0,100.0,1,-46.08,-3.00,0.538,45,145.08
22.50,325.0,325.0,100.0,1,-41.76,-3.00,0.555,45,156.71
23.00,330.0,330.0,100.0,1,-73.92,-4.78,0.545,45,70.20
23.50,335.0,335.0,100.0,1,-44.65,-3.00,0.462,45,148.93
24.00,340.0,340.0,100.0,1,-43.63,-3.00,0.420,45,151.68
24.50,345.0,345.0,100.0,1,-49.11,-3.00,0.384,45,136.94
25.00,350.0,350.0,100.0,1,-45.70,-3.00,0.346,45,146.11
25.50,355.0,355.0,100.0,1,-45.13,-3.00,0.298,45,147.63
26.00,360.0,360.0,100.0,1,-46.78,-3.00,0.308,45,143.21
26.50,365.0,365.0,100.0,1,-49.21,-3.00,0.315,45,136.67
27.00,370.0,370.0,100.0,1,-45.74,-3.00,0.374,45,145.99
27.50,375.0,375.0,100.0,1,-47.57,-3.00,0.350,45,141.08
28.00,380.0,380.0,100.0,1,-47.05,-3.00,0.358,45,142.47
28.50,385.0,385.0,100.0,1,-40.00,-3.00,0.280,45,161.45
29.00,390.0,390.0,100.0,1,-42.40,-3.00,0.303,45,154.97
29.50,395.0,395.0,100.0,1,-40.58,-3.00,0.373,45,159.88
30.00,400.0,400.0,100.0,1,-44.31,-3.00,0.373,45,149.86
30.50,405.0,405.0,100.0,1,-47.09,-3.00,0.412,45,142.38
31.00,410.0,410.0,100.0,1,-43.76,-3.00,0.328,45,151.33
31.50,415.0,415.0,100.0,1,-48.16,-3.00,0.236,45,139.48
32.00,420.0,420.0,100.0,1,-44.74,-3.00,0.100,45,148.69
32.50,425.0,425.0,100.0,1,-49.86,-3.00,0.100,45,134.93
33.00,430.0,430.0,100.0,1,-76.11,-5.22,0.100,45,64.32
33.50,435.0,435.0,100.0,1,-42.96,-3.00,0.111,45,153.47
34.00,440.0,440.0,100.0,1,-50.65,-3.00,0.122,45,132.80
34.50,445.0,445.0,100.0,1,-54.05,-3.00,0.220,45,123.65
35.00,450.0,450.0,100.0,1,-40.80,-3.00,0.191,45,159.30
35.50,455.0,455.0,100.0,1,-54.75,-3.00,0.201,45,121.77
36.00,460.0,460.0,100.0,1,-47.57,-3.00,0.184,45,141.08
36.50,465.0,465.0,100.0,1,-54.02,-3.00,0.153,45,123.72
37.00,470.0,470.0,100.0,1,-48.09,-3.00,0.137,45,139.69
37.50,475.0,475.0,100.0,1,-47.34,-3.00,0.129,45,141.69
38.00,480.0,480.0,100.0,1,-48.26,-3.00,0.100,45,139.21
38.50,485.0,485.0,100.0,1,-82.78,-6.56,0.100,45,46.55
39.00,490.0,490.0,100.0,1,-49.41,-3.00,0.144,45,136.13
39.50,495.0,495.0,100.0,1,-51.22,-3.00,0.120,45,131.25
40.00,500.0,500.0,100.0,1,-44.45,-3.00,0.100,45,149.48
40.50,505.0,505.0,100.0,1,-76.23,-5.25,0.100,45,64.01
41.00,510.0,510.0,100.0,1,-83.55,-6.71,0.139,45,44.51
41.50,515.0,515.0,100.0,1,-51.82,-3.00,0.171,45,129.65
42.00,520.0,520.0,100.0,1,-54.98,-3.00,0.173,45,121.14
42.50,525.0,525.0,100.0,1,-78.77,-5.75,0.169,45,57.21
43.00,530.0,530.0,100.0,1,-48.19,-3.00,0.153,45,139.41
43.50,535.0,535.0,100.0,1,-47.34,-3.00,0.143,45,141.69
44.00,540.0,540.0,100.0,1,-55.29,-3.00,0.199,45,120.31
44.50,545.0,545.0,100.0,1,-41.80,-3.00,0.217,45,156.61
45.00,550.0,550.0,100.0,1,-80.87,-6.17,0.251,45,51.62
45.50,555.0,555.0,100.0,1,-51.11,-3.00,0.189,45,131.55
46.00,560.0,560.0,100.0,1,-72.93,-4.59,0.203,45,72.88
46.50,565.0,565.0,100.0,1,-54.66,-3.00,0.108,45,121.99
47.00,570.0,570.0,100.0,1,-72.94,-4.59,0.153,45,72.84
47.50,575.0,575.0,100.0,1,-69.76,-3.95,0.141,45,81.39
48.00,580.0,580.0,100.0,1,-45.58,-3.00,0.128,45,146.42
48.50,585.0,585.0,100.0,1,-77.31,-5.46,0.122,45,61.11
49.00,590.0,590.0,100.0,1,-50.57,-3.00,0.100,45,132.99
49.50,595.0,595.0,100.0,1,-51.83,-3.00,0.100,45,129.62
50.00,600.0,600.0,100.0,1,-55.34,-3.00,0.147,45,120.17
50.50,605.0,605.0,100.0,1,-47.06,-3.00,0.140,45,142.44
51.00,610.0,610.0,100.0,1,-49.44,-3.00,0.142,45,136.04
51.50,615.0,615.0,100.0,1,-52.83,-3.00,0.176,45,126.91
52.00,620.0,620.0,100.0,1,-53.13,-3.00,0.127,45,126.13
52.50,625.0,625.0,100.0,1,-58.85,-3.00,0.188,45,110.71
53.00,630.0,630.0,100.0,1,-50.39,-3.00,0.172,45,133.49
53.50,635.0,635.0,100.0,1,-48.97,-3.00,0.169,45,137.30
54.00,640.0,640.0,100.0,1,-50.59,-3.00,0.138,45,132.96
54.50,645.0,645.0,100.0,1,-84.77,-6.95,0.100,45,41.33
55.00,650.0,650.0,100.0,1,-72.54,-4.51,0.133,45,73.91
55.50,655.0,655.0,100.0,1,-50.50,-3.00,0.100,45,133.19
56.00,660.0,660.0,100.0,1,-48.83,-3.00,0.100,45,137.70
56.50,665.0,665.0,100.0,1,-49.77,-3.00,0.122,45,135.15
57.00,670.0,670.0,100.0,1,-44.45,-3.00,0.187,45,149.47
57.50,675.0,675.0,100.0,1,-50.93,-3.00,0.147,45,132.04
58.00,680.0,680.0,100.0,1,-49.76,-3.00,0.156,45,135.17
58.50,685.0,685.0,100.0,1,-54.73,-3.00,0.100,45,121.82
59.00,690.0,690.0,100.0,1,-45.71,-3.00,0.100,45,146.08
59.50,695.0,695.0,100.0,1,-50.78,-3.00,0.100,45,132.43
60.00,700.0,700.0,100.0,1,-73.51,-4.70,0.100,45,71.31
60.50,706.7,706.7,100.0,1,-52.87,-3.00,0.150,45,126.81
61.00,713.3,713.3,100.0,1,-57.31,-3.00,0.170,45,114.87
61.50,720.0,720.0,100.0,1,-84.08,-6.82,0.142,45,43.12
62.00,726.7,726.7,100.0,1,-55.21,-3.00,0.232,45,120.53
62.50,733.3,733.3,100.0,1,-79.34,-5.87,0.250,45,55.69
63.00,740.0,740.0,100.0,1,-77.94,-5.59,0.137,45,59.42
63.50,746.7,746.7,100.0,1,-55.26,-3.00,0.120,45,120.39
64.00,753.3,753.3,100.0,1,-80.29,-6.06,0.154,45,53.16
64.50,760.0,760.0,100.0,1,-60.30,-3.00,0.168,45,106.83
65.00,766.7,766.7,100.0,1,-53.54,-3.00,0.207,45,125.00
65.50,773.3,773.3,100.0,1,-42.86,-3.00,0.226,45,153.74
66.00,780.0,780.0,100.0,1,-51.16,-3.00,0.148,45,131.42
66.50,786.7,786.7,100.0,1,-82.04,-6.41,0.169,45,48.51
67.00,793.3,793.3,100.0,1,-80.22,-6.04,0.147,45,53.34
67.50,800.0,800.0,100.0,1,-54.33,-3.00,0.160,45,122.88
68.00,806.7,806.7,100.0,1,-79.51,-5.90,0.136,45,55.24
68.50,813.3,813.3,100.0,1,-60.70,-3.00,0.100,45,105.75
69.00,820.0,820.0,100.0,1,-81.05,-6.21,0.100,45,51.13
69.50,826.7,826.7,100.0,1,-77.14,-5.43,0.198,45,61.56
70.00,833.3,833.3,100.0,1,-57.40,-3.00,0.129,45,114.61
70.50,840.0,840.0,100.0,1,-57.71,-3.00,0.187,45,113.78
71.00,846.7,846.7,100.0,1,-51.14,-3.00,0.186,45,131.47
71.50,853.3,853.3,100.0,1,-55.93,-3.00,0.209,45,118.58
72.00,860.0,860.0,100.0,1,-76.82,-5.36,0.176,45,62.42
72.50,866.7,866.7,100.0,1,-53.13,-3.00,0.199,45,126.12
73.00,873.3,873.3,100.0,1,-55.84,-3.00,0.225,45,118.83
73.50,880.0,880.0,100.0,1,-60.57,-3.00,0.250,45,106.11
74.00,886.7,886.7,100.0,1,-54.38,-3.00,0.192,45,122.74
74.50,893.3,893.3,100.0,1,-83.06,-6.61,0.187,45,45.82
75.00,900.0,900.0,100.0,1,-51.95,-3.00,0.182,45,129.30
75.50,900.0,900.0,100.0,1,-58.71,-3.00,0.321,45,111.11
76.00,900.0,900.0,100.0,1,-88.14,-7.63,0.248,45,32.64
76.50,900.0,900.0,100.0,1,-55.49,-3.00,0.247,45,119.77
77.00,900.0,900.0,100.0,1,-62.17,-3.00,0.262,45,101.79
77.50,900.0,900.0,100.0,1,-53.74,-3.00,0.265,45,124.48
78.00,900.0,900.0,100.0,1,-88.21,-7.64,0.285,45,32.46
78.50,900.0,900.0,100.0,1,-50.09,-3.00,0.239,45,134.30
79.00,900.0,900.0,100.0,1,-54.86,-3.00,0.165,45,121.46
79.50,900.0,900.0,100.0,1,-50.46,-3.00,0.106,45,133.30
80.00,900.0,900.0,100.0,1,-87.81,-7.56,0.100,45,33.48
80.50,900.0,900.0,100.0,1,-56.55,-3.00,0.100,45,116.91
81.00,900.0,900.0,100.0,1,-51.08,-3.00,0.100,45,131.62
81.50,900.0,900.0,100.0,1,-89.70,-7.94,0.100,45,28.76
82.00,900.0,900.0,100.0,1,-47.79,-3.00,0.100,45,140.48
82.50,900.0,900.0,100.0,1,-77.35,-5.47,0.100,45,61.00
83.00,900.0,900.0,100.0,1,-57.00,-3.00,0.100,45,115.71
83.50,900.0,900.0,100.0,1,-54.83,-3.00,0.163,45,121.54
84.00,900.0,900.0,100.0,1,-53.24,-3.00,0.183,45,125.81
84.50,900.0,900.0,100.0,1,-48.56,-3.00,0.206,45,138.40
85.00,900.0,900.0,100.0,1,-50.36,-3.00,0.132,45,133.57
85.50,900.0,900.0,100.0,1,-63.91,-3.00,0.182,45,97.10
86.00,900.0,900.0,100.0,1,-58.87,-3.00,0.173,45,110.67
86.50,900.0,900.0,100.0,1,-58.02,-3.00,0.242,45,112.96
87.00,900.0,900.0,100.0,1,-56.59,-3.00,0.344,45,116.81
87.50,900.0,900.0,100.0,1,-60.26,-3.00,0.400,45,106.94
88.00,900.0,900.0,100.0,1,-64.97,-3.00,0.345,45,94.27
88.50,900.0,900.0,100.0,1,-63.44,-3.00,0.407,45,98.38
89.00,900.0,900.0,100.0,1,-58.86,-3.00,0.359,45,110.69
89.50,900.0,900.0,100.0,1,-61.26,-3.00,0.311,45,104.23
90.00,900.0,900.0,100.0,1,-49.74,-3.00,0.214,45,135.25
90.50,900.0,900.0,100.0,1,-60.74,-3.00,0.216,45,105.64
91.00,900.0,900.0,100.0,1,-46.82,-3.00,0.238,45,143.09
91.50,900.0,900.0,100.0,1,-57.00,-3.00,0.166,45,115.69
92.00,900.0,900.0,100.0,1,-56.59,-3.00,0.100,45,116.81
92.50,900.0,900.0,100.0,1,-54.53,-3.00,0.100,45,122.34
93.00,900.0,900.0,100.0,1,-56.85,-3.00,0.100,45,116.11
93.50,900.0,900.0,100.0,1,-77.24,-5.45,0.113,45,61.30
94.00,900.0,900.0,100.0,1,-50.45,-3.00,0.100,45,133.34
94.50,900.0,900.0,100.0,1,-48.98,-3.00,0.107,45,137.29
95.00,900.0,900.0,100.0,1,-88.87,-7.77,0.100,45,30.81
95.50,900.0,900.0,100.0,1,-76.85,-5.37,0.100,45,62.36
96.00,900.0,900.0,100.0,1,-53.59,-3.00,0.115,45,124.88
96.50,900.0,900.0,100.0,1,-60.35,-3.00,0.100,45,106.70
97.00,900.0,900.0,100.0,1,-56.96,-3.00,0.100,45,115.80
97.50,900.0,900.0,100.0,1,-58.42,-3.00,0.143,45,111.89
98.00,900.0,900.0,100.0,1,-81.00,-6.20,0.165,45,51.26
98.50,900.0,900.0,100.0,1,-53.69,-3.00,0.100,45,124.60
99.00,900.0,900.0,100.0,1,-60.33,-3.00,0.100,45,106.75
99.50,900.0,900.0,100.0,1,-54.88,-3.00,0.100,45,121.41
100.00,900.0,900.0,100.0,1,-54.90,-3.00,0.130,45,121.35
